Kode,KodeSupplier,Nama,Harga,Satuan,Barcode
1857                ,00175     ,PRONAS SOSIS AYAM 325,12052.50,PCS  ,8992804153254       
1858                ,00175     ,PRONAS SOSIS SAPI 325 GR,12075.00,PCS  ,8992804143255       
1859                ,00175     ,PRONAS SOSIS SAPI 425 GR,14708.75,PCS  ,8992804144252       
186                 ,00158     ,GT TARTVFRUIT BLKIBERY,5983.75,PCS  ,8886015243074       
1869                ,105       ,SAJIKU TB SERBAGUNA 90 G,1800.00,PCS  ,8992770061010       
188                 ,00158     ,GT TART FRUIT RSBERRY,6392.50,PCS  ,8886015244088       
1887                ,00031     ,MIC MAC CHEESE 147,4000.00,PCS  ,8886015508159       
1896                ,00016     ,FINNA SARDINES 425,6600.00,PCS  ,8993297514256       
1897                ,00016     ,INTERFOOD SHRIMP/UDANG 24,21340.00,PCS  ,8992704001518       
1900                ,00071     ,SUN KARA SANTAN KELAPA200,3283.75,DOS  ,8992717102509       
1903                ,00016     ,HOME SARDENIS 155,1712.50,PCS  ,8993297521551       
1904                ,00071     ,NERIL AD 100,26125.00,PCS  ,8991380800422       
1905                ,00019     ,H&S BLACK 5 ML,2970.00,PCS  ,4902430069632       
1906                ,00019     ,H&S BLACK 200 ML,25213.75,PCS  ,4902430069663       
1907                ,00019     ,PANTENE LONG BLACK 100 ML,9157.50,PCS  ,4902430071185       
1908                ,00019     ,H&S BLACK 100 ML,13303.75,PCS  ,4902430069656       
1909                ,00019     ,EXQUISIT HT HERBAL 75,18067.50,PCS  ,8996262952954       
1910                ,00019     ,PANTENE BLACK 400,36011.25,PCS  ,4902430015646       
1911                ,00019     ,EXQUISIT HT ACTIVE 75,16425.00,PCS  ,8996262952756       
1912                ,00019     ,EXQUISIT HT GINSENG 75,18067.50,PCS  ,8996262953456       
1913                ,00019     ,PANTENE DAILY MOIST 340,33660.00,PCS  ,4902430538626       
1915                ,00071     ,NERIL ANTI GUARD,26125.00,PCS  ,8991380800248       
1917                ,00019     ,REJOICE SHP ANT HAIRFALL 340,2970.00,PCS  ,4902430473231       
1920                ,00131     ,NATUR C KETOMBE 140,14148.75,PCS  ,8992928201404       
1927                ,00067     ,L`AGIE GOLDEN CITY MINI 50,1593.75,PCS  ,8992957220025       
1928                ,00067     ,L`AGIE GOLDEN CITY BALL 50,1968.75,PCS  ,8992957361124       
1929                ,00067     ,L`AGIE GOLDEN CITY WARNA 50,1408.75,PCS  ,8992957354201       
193                 ,00176     ,GERY KRAKER BERAS 10X5.6 GR,4500.00,PCS  ,8992775000779       
194                 ,00176     ,GERY WFR CREAM CVANILA 80,2303.75,PCS  ,8992775312247       
1943                ,A0044     ,LARIS JAYA GADUNG,18960.00,PCS  ,1943                
1958                ,00019     ,OLAY WHT RADIANCE LOT 30,19737.50,PCS  ,4902430990547       
1959                ,00069     ,FANTA IMUT ORANGE 250,7146.25,DOS  ,8992761145071       
1960                ,00083     ,PUCELL COL TRANG BLUE 60,7291.25,PCS  ,8992222092012       
1961                ,00019     ,HERBAL ESSENCES AD 5ML,2970.00,PCS  ,4902430951531       
1962                ,00040     ,EMERON SHP S MAWAR 330,11125.00,PCS  ,8998866100656       
1963                ,00040     ,EMERON SHP AK 80,3310.00,PCS  ,8998866103114       
1964                ,00040     ,EMERON SHP HAIR FALL 80,3310.00,PCS  ,8998866100595       
1965                ,00040     ,EMERON SHP GINSENG M 90,3310.00,PCS  ,8998866100632       
1966                ,00040     ,EMERON SHP AK 170,6670.00,PCS  ,8998866103121       
1967                ,00040     ,EMERON SHP HAIRFALL 170,7250.00,PCS  ,8998866100601       
1968                ,00040     ,EMERON SHP SOFT & SMOOTH 170,7250.00,PCS  ,8998866100649       
1969                ,00040     ,EMERON SHP S SRAIGHT 270,11125.00,PCS  ,8998866104111       
1970                ,00040     ,EMERON SHP A KETOMBE 270,10235.00,PCS  ,8998866103138       
1971                ,00040     ,EMERON SHP L BUAYA 270,11125.00,PCS  ,8998866100618       
1972                ,00040     ,EMERON SHP U ARING 270,10235.00,PCS  ,8998866100571       
1973                ,00040     ,EMERON SHP BLACK SHINE 80,3310.00,PCS  ,8998866100557       
1975                ,00019     ,REJOICE LEAVE ON 50,6126.25,PCS  ,4902430091336       
1977                ,00019     ,PANTENE HAIRFALL 400,33660.00,PCS  ,8998866100861       
1979                ,00040     ,EMERON SHP BLACK SHINE 170,6670.00,PCS  ,8998866100564       
198                 ,00158     ,TIM TAM CHOCO COFFEE135,6541.25,PCS  ,8993085119007       
1981                ,00019     ,H&S CLEAN BALANCE EOL 70ML,9157.50,PCS  ,4902430102018       
1982                ,00019     ,H&S CLEAN&BALANCE 180ML,17975.00,PCS  ,4902430102254       
1983                ,00019     ,H&S SHP CLEAN&BLC 6X5ML,2970.00,STR  ,4902430963343       
1985                ,00019     ,H&S MENTHOL 75ML,9157.50,PCS  ,4902430102001       
1986                ,00019     ,H&S MENTHOL 180,17975.00,PCS  ,4902430102247       
1987                ,00019     ,H&S SHP MENTHOL 6X10ML,2970.00,STR  ,4902430566896       
1988                ,00019     ,H&S SHP SMOOTH&SILKY 6X5ML,2970.00,STR  ,4902430963367       
1989                ,00019     ,H&S SMOOTH&SILKY 90ML,9157.50,PCS  ,4902430002653       
1990                ,00019     ,H&S SMOOTH&SILKY 180ML,17975.00,PCS  ,4902430102230       
1991                ,00019     ,PANTENE HAIRFALL 70,9157.50,PCS  ,4902430391191       
1992                ,00019     ,PANTENE SHP HAIRFALL 6X5M,2970.00,STR  ,4902430264808       
1993                ,00019     ,PANTENE HAIR FALL 200,19613.75,PCS  ,4902430977234       
1994                ,00019     ,REJOICE BLACK 400,24750.00,PCS  ,4902430026963       
1995                ,00131     ,MR SHP DAUN LANDEP 175,9693.75,PCS  ,8995151130039       
1997                ,00040     ,ZINC SHP RE-FRESHING 135,8125.00,PCS  ,8998866100779       
200                 ,A0012     ,PIATOS KEJU 12,937.50,PACK ,8996196000059       
2000                ,00019     ,PANTENE COND HAIRFALL 75,9157.50,PCS  ,4902430272902       
2001                ,00019     ,REJOICE REVIVING 5 ML,2970.00,PCS  ,4902430026758       
2003                ,00019     ,PANTENE COND HAIR FALL 165,22925.00,PCS  ,4902430391900       
201                 ,A0012     ,PIATOS BARBEQUE 12,937.50,PACK ,8996196000202       
2012                ,00131     ,MR BILASAN SANTAN 175,12375.00,PCS  ,8995151130114       
2013                ,00051     ,MR. CREAM CEMCEMAN 175/200,18046.25,PCS  ,8995151130503       
2014                ,00051     ,M RATU MY CENDANA 175 ML,15000.00,PCS  ,8995151120122       
2015                ,00131     ,MR SHP DAUN TEH HIJAU 175,9693.75,PCS  ,8995151130497       
2016                ,00131     ,MR PENYUBUR R 175 ,15000.00,PCS  ,8995151130138       
2017                ,00131     ,MR SHP BAYAM 175,9693.75,PCS  ,8995151130060       
2018                ,00131     ,MR SHP DAUN WARU 175,9693.75,PCS  ,8995151130015       
2019                ,00131     ,MR SHP MERANG 175 ML,9693.75,PCS  ,8995151130046       
202                 ,00176     ,GARUDA KCG BAWANG 220,10395.00,PCS  ,8992775112120       
2023                ,00040     ,ZINC RE-VITALIZING 135,8375.00,PCS  ,8998866104517       
2024                ,00019     ,REJOICE BLACK 180,13767.50,PCS  ,4902430250184       
2025                ,00019     ,HERBAL WEIGHTY &STR 100,7765.00,PCS  ,4902430952118       
2026                ,00019     ,HERBAL WEIGHTY & STR 200,14478.75,PCS  ,4902430952125       
2027                ,00103     ,NATUR SUBUR RBT 80,6737.50,PCS  ,8992928060179       
2028                ,00131     ,NATUR PENGHITAM RBT 80,6737.50,PCS  ,8992928060148       
2029                ,00131     ,NATUR PERAWAT RBT 80,6737.50,PCS  ,8992928060209       
203                 ,A0012     ,PIATOS SAPI PANGGANG 12,937.50,PACK ,8996196000356       
2031                ,00131     ,NATUR MENCEGAH RTK 140 ML,11687.50,PCS  ,8992928121405       
2032                ,00103     ,NATUR MENCEGAH RTK 80 ML,6875.00,PCS  ,8992928810804       
2033                ,00040     ,NEOPON CAMOMILE SHP 200ML,13680.00,PCS  ,8996262929321       
2039                ,00019     ,REJOICE RICH 400,24750.00,PCS  ,4902430058155       
204                 ,00031     ,TIM TAM COOKIES CKT 120,6062.50,PCS  ,8886015428129       
2040                ,00019     ,REJOICE COMPLETE 400,25555.00,PCS  ,4902430058360       
2041                ,00019     ,REJOICE GINSENG VITAL 400,24750.00,PCS  ,4902430026925       
2042                ,00019     ,REJOICE GINSENG VITAL 200,13766.25,PCS  ,4902430026840       
2045                ,00019     ,PANTENE COND HEALTY 90,9157.50,PCS  ,4902430112307       
2046                ,00019     ,REJOICE FAMILY C 175,10890.00,PCS  ,4902430131773       
2047                ,00019     ,PANTENE ANTI D 170ML,19613.75,PCS  ,4902430400947       
2048                ,00019     ,PANTENE ANTI D 70,9157.50,PCS  ,4902430401173       
2049                ,00019     ,PANTENE AD 6X10 ML,2970.00,STR  ,4902430563864       
205                 ,A0044     ,STICK NANAS MANNA,497.50,PCS  ,205                 
2050                ,00019     ,PANTENE CON SMOOTSILKY 165,22925.00,PCS  ,4902430392716       
2051                ,00019     ,REJOICE FAMILY CLEAN 80,5692.50,PCS  ,4902430015509       
2052                ,00019     ,PANTENE COND LIVELY 100,11980.00,PCS  ,4902430047197       
2053                ,00019     ,PANTENE COND SMOOTH S 90,9157.50,PCS  ,4902430272872       
2054                ,00019     ,PANTENE COND 3MM TTL DMG 70,3993.75,PCS  ,4902430624541       
2057                ,00019     ,PANTENE LIVELY CLEAN 200,18401.25,PCS  ,4902430977197       
2058                ,00019     ,REJOICE SOFT & SMOOTH 6X6 ML,1608.75,STR  ,4902430432603       
2059                ,00019     ,PANTENE LIVELY CLEAN 5 ML,2457.50,PCS  ,4902430047081       
206                 ,00103     ,OREO PEANUT BTR & CHO29,4 GR,1041.25,BOX  ,8992760121083       
2060                ,00019     ,PANTENE COND 3MM HAIRFALL 70,22762.50,PCS  ,4902430624534       
2061                ,00019     ,PANTENE SHP BLACK 6X5,2970.00,STR  ,4902430975858       
2062                ,00019     ,PANTENE SHP NAT C F&L 6X10,36011.25,RTG  ,4902430563949       
2063                ,00019     ,PANTENE NEW NORMAL 400 ML,33592.50,PCS  ,4902430047692       
2064                ,00019     ,PANTENE BLACK 90  ML,9157.50,PCS  ,4902430015257       
2065                ,00019     ,PANTENE LONG BLACK 200,22878.75,PCS  ,4902430071192       
2066                ,00019     ,PANTENE SMOOTH SILKY 85,9157.50,PCS  ,4902430391184       
2067                ,00019     ,PANTENE SMOOTH SILKY 170,19613.75,PCS  ,4902430391498       
2068                ,00019     ,PANTENE SHP SMOOTH S 6X7,2970.00,STR  ,4902430975872       
2069                ,00019     ,PANTENE VOLOME FULLNES 10,9837.50,PCS  ,4902430015226       
2070                ,00019     ,PANTENE VOLUME FULLNES BA,2970.00,PCS  ,4902430013703       
2071                ,00019     ,PANTENE BLACK 170 ML,19812.50,PCS  ,4902430391382       
2072                ,00019     ,REJOICE AD 3 IN 1  6 X 6 ML,2970.00,STR  ,4902430468930       
2073                ,00019     ,REJOICE ANTI HAIRFAL 170 ML,13767.50,PCS  ,4902430428415       
2074                ,00019     ,REJOICE ANTI.D 100ML,7363.75,PCS  ,4902430058247       
2075                ,00019     ,REJOICE BLACK 5ML BANDED,2970.00,STR  ,4902430104203       
2076                ,00019     ,REJOICE SHP HAIRFAL 6 X 6 ML,2970.00,STR  ,4902430042338       
2078                ,00019     ,REJOICE BALANCED 200ML,12936.25,PCS  ,4902430058216       
2079                ,00019     ,REJOICE COMPLETE 90,7362.50,PCS  ,4902430104319       
2080                ,00019     ,REJOICE COMPLETE 180,13767.50,PCS  ,4902430250122       
2081                ,00019     ,REJOICE COMPLIT 6X5ML,2970.00,STR  ,4902430104289       
2082                ,00019     ,REJOICE FRUITY/FRUITY AD 180,13767.50,PCS  ,4902430104555       
2083                ,00019     ,REJOICE COND FRUITY 80,6682.50,PCS  ,4902430249690       
2084                ,00019     ,REJOICE RICH 90,7362.50,PCS  ,4902430249898       
2085                ,00019     ,REJOICE RICH BTL 240,13767.50,PCS  ,4902430222471       
2086                ,00019     ,REJOICE RICH (5.5ML X 2) X 6,2970.00,STR  ,4902430660525       
2087                ,00019     ,PANTENE LEAVE ON/H 6X5ML,2970.00,PCS  ,4902430251075       
2088                ,00019     ,PANTENE BLACK COND 7,5,2970.00,PCS  ,4902430975803       
2090                ,00019     ,REJOICE BLACK SILKY BLACK 90,7362.50,PCS  ,4902430249843       
2107                ,00040     ,ZINC RE-ENERGZ 135,8125.00,PCS  ,8998866100755       
212                 ,00002     ,KG ASS RED BULAT 1000G,20093.75,DOS  ,8888166336933       
2123                ,00019     ,PANTENE HEALTY SCALP 90,9157.50,PCS  ,4902430112338       
2124                ,00019     ,PANTENE HEALTY SCALP 200,19812.50,PCS  ,8999999702908       
2133                ,00167     ,ABC MIE GULE SALERO 70,825.00,DOS  ,8992388133284       
2135                ,00102     ,ABC MIE OPOR,873.75,PCS  ,8992388111251       
2139                ,00019     ,ABC MIE SP GRG AYAM LIMAU,896.25,DOS  ,8992388112340       
214                 ,0179      ,MR.P KACANG MADU 40GR,2627.50,PACK ,8992709818401       
2140                ,A0094     ,ABC MIE SP GULAI AYAM ,873.75,DOS  ,8992388111206       
2141                ,00167     ,ABC MIE CUP KARI AYAM,2647.50,PCS  ,8992388121021       
2142                ,A0094     ,ABC MIE RASA AYAM BWG,825.00,DOS  ,8992388111237       
2143                ,00102     ,ABC MIE RBS BASO SAPI,825.00,PCS  ,8992388111220       
2145                ,A0094     ,ABC MIE SP SEMUR AYAM,873.75,DOS  ,8992388111138       
2146                ,00102     ,ABC MIE SOTO,782.50,PCS  ,8992388111213       
2147                ,00019     ,ABC MIE SP SUP TOMAT,873.75,DOS  ,8992388111145       
2148                ,00102     ,ABC MIE GRG PANGSIT,1017.50,PCS  ,2148                
215                 ,0179      ,MR.P KCG CHILI ROASTED 80GR,5253.75,PACK ,8992709838805       
2156                ,00090     ,YOU C1000 LEMON,3958.75,DOS  ,8997009510017       
2157                ,A0113     ,TEH BANDULAN KNG 80 GR,1128.75,PCS  ,8994300101081       
216                 ,0179      ,MR.P KCG MADU 80GR,5253.75,PACK ,8992709818807       
2162                ,A0069     ,TWISTKO JAGUNG BAKAR 70,2343.75,PCS  ,8994834002489       
2164                ,00023     ,CUP NOODLES UDANG CIS,2603.75,PCS  ,8992718001702       
2165                ,215       ,SARI ROTI LAPIS BAMKUHEN,953.75,PCS  ,8992907952891       
2166                ,A0002     ,SGM EKSPLOR 1+ VAN 600G,1062.50,PCS  ,8999099928666       
217                 ,00054     ,MR.P KC METTE MADU 80 GR,12541.25,PCS  ,8992709718800       
218                 ,0179      ,MR.P KCG GARLIC 40 GR,2627.50,PACK ,8992709848408       
2184                ,00019     ,SELAMAT BISC BLACK VNL102,1117.50,PCS  ,8991001770219       
2189                ,00172     ,CARRERA POLES M 20GX6S,2800.00,PCS  ,8992746700899       
219                 ,0179      ,MR.P KCG GARLIC ROASTED 80GR,5253.75,PACK ,8992709848415       
2190                ,00172     ,CARRERA SHAMPO M 30MX6S,2800.00,PCS  ,8992745705116       
2191                ,00172     ,STELLA MATIC LISTRIK(KECIL),3315.00,PCS  ,2191                
220                 ,0179      ,MR.P KCG CHILI ROASTED 40GR,2627.50,PACK ,8992709838409       
2200                ,00019     ,GILLETTE BLUE II PLUS 589,1326.25,PCS  ,8888826019589       
2203                ,00175     ,CAREFREE HEALTHY FRESH SD,1326.25,PCS  ,8850007331797       
2204                ,00175     ,CAREFREE HEALTHY ULTRA T 20,1326.25,PCS  ,8850007331810       
2209                ,00040     ,SEDAP MIE SAMBAL GORENG,1192.50,DOS  ,8998866200448       
2219                ,00131     ,SWEETY BRONZE PANTS M34,668.75,PCS  ,8992959953174       
222                 ,00103     ,OREO VANILA 137 GR ,4892.50,PCS  ,8992760122011       
2220                ,00131     ,SWEETY SAFE&SOFT L36,687.50,PCS  ,8992959508589       
2230                ,00131     ,ICE CREAM KOPYOR 150,512.50,PCS  ,                    
2231                ,00112     ,SEPATU ARDILES CLEAVER,548.75,PCS  ,2231                
2233                ,00019     ,GILLETTE UG BLU II PLUS 2S,520.00,PCS  ,8888855001432       
2234                ,00019     ,VICKS FORMULA 44 27 ML,543.75,PCS  ,4987176002679       
2237                ,00172     ,HIT AERO GREEN TEA 225,702.50,PCS  ,8992745120858       
224                 ,00103     ,OREO VANILA 29.4,1041.25,BOX  ,8992760121014       
2241                ,A0030     ,DRINK BENG-BENG 5X30 GR,1113.75,DOS  ,8996001431030       
2242                ,A0030     ,TORABIKA SUSU ESPRESSO 5X23G,750.00,DOS  ,8998666001917       
2244                ,A0034     ,EVEREADY HTM SEDANG 1235 2S,548.75,PCS  ,8999002245651       
225                 ,00103     ,OREO COKLAT CREEM 29.4,1068.75,BOX  ,8992760223022       
2252                ,00040     ,JAS JUS ALL SAC10,1360.00,PCS  ,8998866200097       
226                 ,00103     ,OREO DOUBLE STUF 152,4892.50,PCS  ,4893049130007       
2261                ,00004     ,MADU SARI MURNI TTK 650,7700.00,PCS  ,2261                
2273                ,00002     ,NS WFR LEMON 120,3703.75,PCS  ,8888166339934       
2282                ,00112     ,SEPATU CARVIL SOULMATE T,548.75,PCS  ,2282                
2284                ,00040     ,SEDAP MIE GORENG,1192.50,DOS  ,8998866200301       
229                 ,200       ,REGAL MARIE SUPERIOR 250G,13846.25,PCS  ,8993039112504       
2291                ,00071     ,EXTRA JOSS 10 TABLET,7500.00,PCS  ,8993058600105       
2293                ,00019     ,VICKS VAPARUP 50,20418.75,PCS  ,4987176000552       
2295                ,00131     ,HANSAPLAST BALSEM 10GR,2625.00,PCS  ,8999777767006       
2296                ,00131     ,HANSAPLAST BALSEM 20GR,4900.00,PCS  ,8999777927240       
2298                ,00019     ,VICKS VAPARUB 5 GR,2783.75,PCS  ,8999777768027       
230                 ,200       ,REGAL SUPERIOR 125 GR,7301.25,PCS  ,8993039111255       
2306                ,00171     ,KAYU PUTIH MINYAK B,6972.50,PCS  ,0                   
2308                ,00069     ,MM PULPY HOMESTY 350,7631.25,DOS  ,8992761164584       
2309                ,00102     ,TRENZ 30 ALL VAR,1036.25,PCS  ,089686681215        
231                 ,00103     ,RITZ CRACERS 100 GR,3312.50,PCS  ,8992760211029       
2314                ,A0045     ,GAJAH TELON 55 BOTOL,6972.50,PCS  ,8995179100137       
2315                ,00019     ,VAPORUB 50 GR,18187.50,PCS  ,4987176127426       
2316                ,00019     ,VICKS INHALER,8167.50,PCS  ,4902430393126       
2317                ,00019     ,VICKS VAPORUB 10 GR,4918.75,PCS  ,4987176600554       
2319                ,00031     ,MULTI MP-03,4162.50,PCS  ,8992931025035       
232                 ,00103     ,RITZ SANDWICH CHEESE 27,1041.25,BOX  ,4893049120046       
2320                ,00172     ,MITU TRAVEL PACK LEMON 5,876.25,PCS  ,8998899002835       
2321                ,00172     ,MITU ANN T PACK 5 KW,876.25,PCS  ,8998899002828       
2322                ,00172     ,MITU WETTIES BOX LMN 20,5510.00,PCS  ,8992745540144       
2323                ,00172     ,MITU T BOX SHIKADA 20,5248.75,PCS  ,8992745540793       
2325                ,00172     ,MITU T. BOX,5248.75,PCS  ,0                   
